size (B)          time (µs)        rate (MB/s)
8              38.04               0.21
16              38.01               0.42
24              38.04               0.63
32              38.04               0.84
48              38.12               1.26
64              38.12               1.68
88              38.12               2.31
112              38.09               2.94
144              38.15               3.77
184              38.19               4.82
232              38.21               6.07
296              38.30               7.73
376              38.32               9.81
472              38.34              12.31
592              38.45              15.39
744              38.49              19.33
936              32.24              29.03
1176              38.76              30.34
1472              32.50              45.29
1848              39.05              47.32
2312              39.30              58.82
2896              39.61              73.11
3624              39.98              90.65
4536              40.49             112.03
5672              41.04             138.20
7096              41.71             170.15
8872              42.83             207.16
11096              43.96             252.41
13872              45.25             306.59
17344              46.54             372.66
21688              48.72             445.12
27112              51.38             527.72
33896              64.35             526.75
42376              67.78             625.20
52976              71.64             739.43
66224             105.92             625.23
82784             107.64             769.08
103488             116.06             891.72
129368             129.46             999.25
161712             161.33            1002.37
202144             181.91            1111.23
252688             204.37            1236.45
315864             254.84            1239.46
394832             318.84            1238.34
493544             386.13            1278.18
616936             484.19            1274.16
771176             604.08            1276.62
963976             752.87            1280.40
1204976             904.75            1331.83
1506224            1087.03            1385.63
1882784            1335.18            1410.14
2353488            1665.21            1413.33
2941864            2178.20            1350.60
3677336            2792.67            1316.78
4596672            3499.09            1313.68
5745848            4339.16            1324.18
7182312            5398.63            1330.39
8977896            6729.36            1334.14
11222376            8349.02            1344.15
14027976           10385.36            1350.74
